group,md5,kb,sources,action,source,path
1,5303b78e1e,10217,nesa,KEEP,nesa,English Advanced/HSC-NESA/2015-english-std-hsc-exam-1.pdf
1,5303b78e1e,10217,nesa,dup,nesa,English Standard/HSC-NESA/2015-english-std-hsc-exam-1.pdf
2,8270b418e0,6895,ace+thsc,KEEP,thsc,Maths Advanced/Y12-Trial/North Sydney Girls 2020 w. sol.pdf
2,8270b418e0,6895,ace+thsc,dup,ace,Maths Advanced/ACE-Trial/2020 2U - North Sydney Girls - Trial Paper (with Solutions).pdf
3,8eeadd8422,6551,ace+thsc,KEEP,thsc,Maths Extension 1/Y12-Trial/Normanhurst Boys 2018 w. sol.pdf
3,8eeadd8422,6551,ace+thsc,dup,ace,Maths Extension 1/ACE-Trial/2018-3U-Normanhurst-Boys-Trials-with-Solutions.pdf
4,5337034f19,5952,ace+thsc,KEEP,thsc,Physics/Y12-Trial/Sydney Grammar 2020 w. sol.pdf
4,5337034f19,5952,ace+thsc,dup,ace,Physics/ACE-Trial/2020 PHY - Sydney Grammar - Trial Paper.pdf
5,edae4407f2,5413,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/North Sydney Boys 2021 w. sol.pdf
5,edae4407f2,5413,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/ex2-2021-north-sydney-boys-trial-paper-w-solutions-618744e6e2bf7.pdf
6,b98638fcd2,5411,ace+thsc,KEEP,thsc,Maths Advanced/Y12-Trial/Caringbah 2021 w. sol.pdf
6,b98638fcd2,5411,ace+thsc,dup,ace,Maths Advanced/ACE-Trial/2021-2u-caringbah-trial-paper-w-solutions-6183be6a9d24f.pdf
7,1a3ecfa508,5282,ace+thsc,KEEP,thsc,Maths Extension 2/Y12-Trial/Sydney Grammar 2021 w. sol.pdf
7,1a3ecfa508,5282,ace+thsc,dup,ace,Maths Extension 2/ACE-Trial/ex2-2021-sydney-grammar-trial-paper-w-solutions-61874ece0bdb1.pdf
8,7c3ec95d76,4943,ace+thsc,KEEP,thsc,Maths Extension 1/Y12-Trial/Cranbrook 2017 w. sol.pdf
8,7c3ec95d76,4943,ace+thsc,dup,ace,Maths Extension 1/ACE-Trial/2017-3U-Cranbrook-Trials-with-Solutions.pdf
9,779d934fe7,4579,ace,KEEP,ace,English Advanced/ACE-Trial/2015 English (Advanced & Standard) - Hurlstone Paper 1 Trial without Solutions.pdf
9,779d934fe7,4579,ace,dup,ace,English Standard/ACE-Trial/2015 English (Advanced & Standard) - Hurlstone Paper 1 Trial without Solutions.pdf
10,1386d2b9db,4438,ace,KEEP,ace,Maths Advanced/ACE-Trial/2020 2U - James Ruse - Trial Paper (with Solutions).pdf
10,1386d2b9db,4438,ace,dup,ace,Maths Advanced/ACE-Trial/2020 - Advanced Trial Paper with Solution & Working Out.pdf
11,e486131ef3,4280,ace+thsc,KEEP,thsc,Chemistry/Y12-Trial/Baulkham Hills 2019 w. sol.pdf
11,e486131ef3,4280,ace+thsc,dup,ace,Chemistry/ACE-Trial/2019-CHEM-Baulkham-Hills-Trial-with-Solutions.pdf
12,7448b00633,4215,ace+thsc,KEEP,thsc,Maths Advanced/Y12-Trial/Cranbrook 2017 w. sol.pdf
12,7448b00633,4215,ace+thsc,dup,ace,Maths Advanced/ACE-Trial/2017-2U-Cranbrook-Trials-with-Solutions.pdf
13,5f6d790044,4105,ace+thsc,KEEP,thsc,Physics/Y11-Yearly/Sydney Grammar 2016 w. sol.pdf
13,5f6d790044,4105,ace+thsc,dup,ace,Physics/ACE-Yearly/2016 P PHY - Sydney Grammar - Prelim Yearly Exam Paper.pdf
14,4996f8f001,3546,ace+thsc,KEEP,thsc,English/Y12-Trial-P1/Casino 2015 P1.pdf
